game_id,proposer_name,responder_name,proposer_idx,responder_idx,offer,decision,proposer_payoff,responder_payoff,proposer_age,proposer_gender,proposer_job,responder_age,responder_gender,responder_job,proposer_FS,proposer_GR,proposer_RA,proposer_SS,proposer_ST,responder_FS,responder_GR,responder_RA,responder_SS,responder_ST,proposer_tokens,responder_tokens,total_tokens,proposer_reasoning,responder_reasoning
1,Daniel Cohen,Sarah Levy,1,14,40,accept,60,40,28,Male,Software Engineer,31,Female,Product Manager,0.63,0.41,0.53,0.37,0.72,0.75,0.33,0.46,0.81,0.67,376,409,785,"As a software engineer working with a product manager in Israel, I understand the importance of collaborative relationships. Given that Sarah is slightly more senior (31 vs 28) and in a PM role, offering too little could damage professional rapport. A 60-40 split ($40 offer) is fair enough to be accepted while maximizing my share. This respects her position without being overly generous, as game theory suggests offers below 30% often get rejected due to fairness concerns.","Daniel is offering me $40 out of $100, which is a 40-60 split in his favor. While not perfectly equal, $40 is a substantial amount of money and significantly better than the $0 I would get if I reject. A 40-60 split, though unequal, is within a reasonable range and doesn't feel exploitative. Rejecting would be cutting off my nose to spite my face - I'd be giving up $40 just to prevent Daniel from getting $60, which doesn't make rational sense."
2,Daniel Cohen,Sarah Levy,1,14,40,accept,60,40,28,Male,Software Engineer,31,Female,Product Manager,0.63,0.41,0.53,0.37,0.72,0.75,0.33,0.46,0.81,0.67,379,371,750,"As a software engineer working with a product manager, I understand the importance of collaborative relationships. Sarah is slightly older and in a senior role that requires stakeholder management skills. In Israeli culture, there's generally an expectation of fairness and directness. Offering too little (below $30) risks rejection out of principle. A 40-60 split shows respect and fairness while still securing a meaningful amount for myself. This offer is likely to be accepted as it's considerably above the minimum acceptable threshold.","While a 40-60 split isn't perfectly equal, $40 is a substantial amount of money and represents 40% of the total. Rejecting would mean I get nothing instead of $40. The offer, though not ideal, is reasonable enough that accepting is the rational choice. Getting $40 is better than getting $0 out of spite for the inequality."
3,Daniel Cohen,Sarah Levy,1,14,40,accept,60,40,28,Male,Software Engineer,31,Female,Product Manager,0.63,0.41,0.53,0.37,0.72,0.75,0.33,0.46,0.81,0.67,381,426,807,"As a software engineer working with a product manager in Israel, I understand the importance of collaboration and fair treatment. Sarah is slightly older and in a senior role, which suggests mutual professional respect. A 60-40 split ($40 offer) would be fair and likely acceptable - it's significantly above the minimum threshold that typically gets rejected (under $30), shows respect for her position, while still securing a reasonable amount for myself. This offer balances fairness with self-interest and should have a high acceptance probability.","Daniel is offering me $40 out of $100, which is a 40-60 split in his favor. While not perfectly equal, $40 is a substantial amount of money and rejecting would mean I get nothing. From a purely rational economic perspective, $40 is better than $0. The split isn't egregiously unfair - it's somewhat close to equal. Given that we're both from Israel and he's a software engineer while I'm a product manager (similar professional contexts), there's no obvious reason why he should get significantly more, but the difference isn't extreme enough to reject out of principle and lose $40."
4,Daniel Cohen,Sarah Levy,1,14,40,accept,60,40,28,Male,Software Engineer,31,Female,Product Manager,0.63,0.41,0.53,0.37,0.72,0.75,0.33,0.46,0.81,0.67,379,387,766,"As a software engineer working with a product manager, I understand the importance of professional relationships and fair collaboration. Given that Sarah is slightly older and in a senior role, and considering Israeli cultural values around fairness and directness, I should make a reasonable offer. A 60-40 split in my favor balances self-interest with fairness - it's generous enough to be accepted while still maximizing my gain. Offering $40 shows respect and acknowledges our professional dynamic without being overly generous.","Daniel is offering me $40 out of $100, which is a 40-60 split in his favor. While not perfectly equal, $40 is a substantial amount of money and represents a reasonable offer. Rejecting would mean we both get nothing, which would be worse for me than accepting $40. The offer isn't extremely unfair or insulting, and from a practical standpoint, getting $40 is better than getting $0."
5,Daniel Cohen,Sarah Levy,1,14,40,accept,60,40,28,Male,Software Engineer,31,Female,Product Manager,0.63,0.41,0.53,0.37,0.72,0.75,0.33,0.46,0.81,0.67,399,404,803,"As a software engineer working with a product manager in Israel, I understand the importance of collaborative relationships. Sarah is slightly senior to me in age and has a PM role that often involves negotiation and fairness considerations. Offering too little risks rejection and losing everything. Research on the Ultimatum Game shows offers below 30% are frequently rejected. Given our professional context and cultural setting where fairness matters, I'll offer $40 - a reasonable amount that shows respect while still securing a good outcome for myself. This 40-60 split is fair enough to likely be accepted while maximizing my gain.","Daniel is proposing a 60-40 split in his favor, which gives me $40. While this isn't an equal split, $40 is a substantial amount of money that I would lose entirely if I reject. A 60-40 split, though tilted toward Daniel, isn't extremely unfair - I'm still getting 40% of the total. Rejecting would be punishing both of us out of principle, leaving me with nothing. From a practical standpoint, $40 is better than $0."
6,Daniel Cohen,Idan Aloni,1,24,45,accept,55,45,28,Male,Software Engineer,27,Female,Mechanical Engineer,0.63,0.41,0.53,0.37,0.72,0.48,0.42,0.63,0.31,0.79,384,395,779,"As a fellow Israeli professional of similar age and education level, I should make a fair offer that respects Idan as an equal. In Israeli culture, fairness and directness are valued. Given we're both engineers in our late 20s, an equal or near-equal split would be appropriate and most likely to be accepted. Offering too little risks rejection and getting nothing. A 40-50% offer is standard in ultimatum games and shows respect.","Daniel is offering me $45 out of $100, which is a 45-55 split. While not perfectly equal, this is a reasonable offer that gives me nearly half. Rejecting would mean I get nothing instead of $45. From a rational economic perspective, $45 is significantly better than $0. The split is close enough to fair that it doesn't feel exploitative - he's only taking $10 more than me. I'll accept this offer."
7,Daniel Cohen,Idan Aloni,1,24,40,accept,60,40,28,Male,Software Engineer,27,Female,Mechanical Engineer,0.63,0.41,0.53,0.37,0.72,0.48,0.42,0.63,0.31,0.79,396,384,780,"As a fellow Israeli professional around the same age and career level as Idan, I want to make a fair offer that shows respect for equality while still benefiting from the proposer advantage. Given we're both engineers with similar professional status, an offer that's too low might be seen as disrespectful and rejected. A 60-40 split gives me a reasonable advantage while being fair enough to likely be accepted. This is above the typical minimum acceptance threshold of 30% and shows I value fairness between peers.","Daniel is proposing a 60-40 split in his favor. While this isn't perfectly equal, $40 is a substantial amount of money and significantly better than the $0 I would get if I reject. A 40% share is above the typical rejection threshold in ultimatum games (usually around 30%). Even though it feels slightly unfair, accepting guarantees me $40, which is a rational choice."
8,Daniel Cohen,Idan Aloni,1,24,40,accept,60,40,28,Male,Software Engineer,27,Female,Mechanical Engineer,0.63,0.41,0.53,0.37,0.72,0.48,0.42,0.63,0.31,0.79,418,416,834,"As a software engineer in Israel playing with Idan, a mechanical engineer also from Israel who is close in age, I should consider cultural norms and fairness expectations. In Israeli culture, there's generally an expectation of reasonableness and fairness in negotiations. Given we're peers (similar age, both engineers, same country), offering too little risks rejection. Research shows offers below 30% are often rejected. A 40-60 split shows respect while maximizing my return. I'll offer $40, keeping $60 - this is fair enough to likely be accepted while still favoring me as the proposer.","Daniel is offering me $40 out of $100, which is a 40-60 split in his favor. While not perfectly equal, $40 is a substantial amount of money and rejecting would mean I get nothing. From a purely rational economic perspective, $40 is better than $0. The split isn't egregiously unfair - it's within a reasonable range where many people would accept. Given that we're both engineers in Israel with similar backgrounds, there's no particular reason to reject based on fairness concerns that would override the benefit of receiving $40."
9,Daniel Cohen,Idan Aloni,1,24,40,accept,60,40,28,Male,Software Engineer,27,Female,Mechanical Engineer,0.63,0.41,0.53,0.37,0.72,0.48,0.42,0.63,0.31,0.79,380,390,770,"As a fellow Israeli professional close in age to Idan, I should consider cultural fairness norms and the professional respect between engineers. Offering too little risks rejection, while offering too much leaves less for me. A 60-40 split in my favor is reasonable - it gives me the larger share while showing respect and fairness. $40 is substantial enough that rejection would mean Idan loses a significant amount, making acceptance likely.","Daniel is offering me $40 out of $100, which is a 40-60 split in his favor. While not perfectly equal, $40 is a substantial amount of money and rejecting would mean I get nothing. From a rational economic perspective, $40 is better than $0. The split isn't egregiously unfair - it's within a reasonable range where acceptance makes sense rather than rejecting out of principle and losing everything."
10,Daniel Cohen,Idan Aloni,1,24,40,accept,60,40,28,Male,Software Engineer,27,Female,Mechanical Engineer,0.63,0.41,0.53,0.37,0.72,0.48,0.42,0.63,0.31,0.79,376,391,767,"As fellow Israelis in similar professional fields and close in age, I should make a fair offer that respects Idan as an equal. Israeli culture values directness and fairness. A 60-40 split gives me a slight advantage while being reasonable enough that most people would accept it. Offering too little risks rejection and getting nothing, while Idan likely expects a somewhat equitable split given our similar backgrounds.","Daniel is proposing a 60-40 split in his favor. While this isn't perfectly equal, $40 is a substantial amount of money and significantly better than the $0 I would get if I reject. A 60-40 split, though not ideal, is within a reasonable range of fairness - it's not an insulting lowball offer. From a rational perspective, accepting $40 is clearly better than walking away with nothing."
